	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
give	112298,112298,41011,41011,49930,49930,48384,48384,37591,37591,28597,28597,110594,110594,91529,91529,464410,464410,298060,298060,45256,45256,54787,54787,57894,57894,56043,56043,63948,63948,284946,284946,44219,44219,17158,17158,79984,79984,2497358,2497358,0,0,663061,663061,48064,48064,58045,58045,230915,230915,60777,60777,172956,172956,57667,57667,67817,67817,87762,87762,131613,131613,125431,125431,132726,132726,71840,71840,117346,117346,102506,102506,113178,113178,1182342,1182342,73276,73276,85283,85283,58029,58029,62975,62975,225139,225139,69770,69770,1521152,1521152,126387,126387,56552,56552,77417,77417,68609,68609,85979,85979,312963,312963,164627,164627,236142,236142,63923,63923,74242,74242,72115,72115,74493,74493,56803,56803,420087,420087,62103,62103,81780,81780,104347,104347,67684,67684,1220100,1220100,394275,394275,1054343,1054343,74530,74530,63043,63043,47040,47040,176045,176045,62674,62674,67520,67520,66241,66241,63686,63686,67529,67529,78413,78413,77541,77541,1465559,1465559,1490470,1490470,102265,102265,46276,46276,84028,84028,86557,86557,118383,118383,70544,70544,103515,103515,528269,528269,78644,78644,70382,70382,72801,72801,198228,198228,85518,85518,51590,51590,70058,70058,62705,62705,77588,77588,113103,113103,112351,112351,182406,182406,52482,52482
had	595697,595697,661466,661466,663015,663015,658501,658501,663610,663610,661748,661748,639859,639859,628344,628344,454827,454827,668625,668625,669591,669591,668222,668222,653615,653615,658334,658334,646019,646019,652775,652775,650638,650638,667423,667423,676551,676551,2612543,2612543,663061,663061,0,0,654395,654395,658426,658426,728328,728328,657218,657218,559929,559929,653724,653724,644842,644842,629037,629037,679504,679504,625240,625240,645793,645793,653995,653995,703825,703825,644807,644807,658963,658963,1742319,1742319,651465,651465,619268,619268,651896,651896,661814,661814,618974,618974,659511,659511,1977445,1977445,619464,619464,658401,658401,652506,652506,639250,639250,652418,652418,581274,581274,660166,660166,647423,647423,659490,659490,683029,683029,665092,665092,668688,668688,663840,663840,473066,473066,660946,660946,632099,632099,673056,673056,656497,656497,1731321,1731321,827916,827916,719612,719612,633007,633007,640644,640644,669659,669659,729074,729074,664887,664887,659833,659833,660926,660926,664783,664783,658264,658264,647868,647868,678298,678298,1830600,1830600,1006427,1006427,648608,648608,660377,660377,646767,646767,640352,640352,621540,621540,648361,648361,653520,653520,755652,755652,659021,659021,685579,685579,688534,688534,614885,614885,652283,652283,664659,664659,660291,660291,663230,663230,654263,654263,612626,612626,664578,664578,646979,646979,667829,667829
has	595697,595697,661466,661466,663015,663015,658501,658501,663610,663610,661748,661748,639859,639859,628344,628344,454827,454827,668625,668625,669591,669591,668222,668222,653615,653615,658334,658334,646019,646019,652775,652775,650638,650638,667423,667423,676551,676551,2612543,2612543,663061,663061,0,0,654395,654395,658426,658426,728328,728328,657218,657218,559929,559929,653724,653724,644842,644842,629037,629037,679504,679504,625240,625240,645793,645793,653995,653995,703825,703825,644807,644807,658963,658963,1742319,1742319,651465,651465,619268,619268,651896,651896,661814,661814,618974,618974,659511,659511,1977445,1977445,619464,619464,658401,658401,652506,652506,639250,639250,652418,652418,581274,581274,660166,660166,647423,647423,659490,659490,683029,683029,665092,665092,668688,668688,663840,663840,473066,473066,660946,660946,632099,632099,673056,673056,656497,656497,1731321,1731321,827916,827916,719612,719612,633007,633007,640644,640644,669659,669659,729074,729074,664887,664887,659833,659833,660926,660926,664783,664783,658264,658264,647868,647868,678298,678298,1830600,1830600,1006427,1006427,648608,648608,660377,660377,646767,646767,640352,640352,621540,621540,648361,648361,653520,653520,755652,755652,659021,659021,685579,685579,688534,688534,614885,614885,652283,652283,664659,664659,660291,660291,663230,663230,654263,654263,612626,612626,664578,664578,646979,646979,667829,667829
have	107176,107176,27919,27919,33060,33060,43896,43896,55567,55567,29669,29669,93744,93744,91171,91171,465586,465586,294910,294910,37650,37650,35879,35879,46334,46334,47009,47009,46518,46518,292770,292770,37469,37469,37536,37536,59360,59360,2491702,2491702,48064,48064,654395,654395,0,0,30559,30559,219011,219011,29561,29561,168848,168848,31881,31881,40999,40999,53646,53646,94639,94639,103149,103149,106968,106968,46286,46286,98204,98204,68540,68540,85048,85048,1164110,1164110,73956,73956,68313,68313,31725,31725,40655,40655,191679,191679,45938,45938,1493552,1493552,89135,89135,25356,25356,54105,54105,34049,34049,56445,56445,302907,302907,145793,145793,201788,201788,40937,40937,52830,52830,51631,51631,45661,45661,31721,31721,431819,431819,34177,34177,51176,51176,82009,82009,38328,38328,1199056,1199056,358161,358161,1061227,1061227,52348,52348,38957,38957,26372,26372,158307,158307,70824,70824,43808,43808,43881,43881,38532,38532,41365,41365,50949,50949,69921,69921,1438305,1438305,1495990,1495990,70783,70783,26744,26744,52266,52266,62725,62725,97665,97665,44290,44290,83679,83679,508051,508051,59818,59818,51618,51618,52035,52035,181882,181882,54392,54392,26674,26674,39414,39414,36035,36035,44624,44624,90163,90163,74473,74473,150136,150136,30502,30502
he	107176,107176,27919,27919,33060,33060,43896,43896,55567,55567,29669,29669,93744,93744,91171,91171,465586,465586,294910,294910,37650,37650,35879,35879,46334,46334,47009,47009,46518,46518,292770,292770,37469,37469,37536,37536,59360,59360,2491702,2491702,48064,48064,654395,654395,0,0,30559,30559,219011,219011,29561,29561,168848,168848,31881,31881,40999,40999,53646,53646,94639,94639,103149,103149,106968,106968,46286,46286,98204,98204,68540,68540,85048,85048,1164110,1164110,73956,73956,68313,68313,31725,31725,40655,40655,191679,191679,45938,45938,1493552,1493552,89135,89135,25356,25356,54105,54105,34049,34049,56445,56445,302907,302907,145793,145793,201788,201788,40937,40937,52830,52830,51631,51631,45661,45661,31721,31721,431819,431819,34177,34177,51176,51176,82009,82009,38328,38328,1199056,1199056,358161,358161,1061227,1061227,52348,52348,38957,38957,26372,26372,158307,158307,70824,70824,43808,43808,43881,43881,38532,38532,41365,41365,50949,50949,69921,69921,1438305,1438305,1495990,1495990,70783,70783,26744,26744,52266,52266,62725,62725,97665,97665,44290,44290,83679,83679,508051,508051,59818,59818,51618,51618,52035,52035,181882,181882,54392,54392,26674,26674,39414,39414,36035,36035,44624,44624,90163,90163,74473,74473,150136,150136,30502,30502
her	115199,115199,37336,37336,38359,38359,44629,44629,65556,65556,39308,39308,100569,100569,96666,96666,471707,471707,298927,298927,41645,41645,38502,38502,52045,52045,54012,54012,52575,52575,297987,297987,44046,44046,45019,45019,60963,60963,2498099,2498099,58045,58045,658426,658426,30559,30559,0,0,223294,223294,34926,34926,177251,177251,44434,44434,43396,43396,54131,54131,97686,97686,102762,102762,107889,107889,51891,51891,96289,96289,70031,70031,87099,87099,1160959,1160959,78633,78633,75496,75496,29938,29938,38258,38258,196878,196878,47573,47573,1501039,1501039,88184,88184,28541,28541,46306,46306,45186,45186,57092,57092,303838,303838,152138,152138,200851,200851,41172,41172,54013,54013,47720,47720,47580,47580,34578,34578,437726,437726,36252,36252,59879,59879,75500,75500,37985,37985,1193415,1193415,351850,351850,1065030,1065030,59193,59193,43842,43842,32361,32361,155228,155228,73077,73077,43305,43305,42350,42350,40027,40027,45110,45110,55364,55364,65422,65422,1439502,1439502,1498247,1498247,72922,72922,37627,37627,58475,58475,61338,61338,103848,103848,47601,47601,92320,92320,509952,509952,52837,52837,50243,50243,50174,50174,188325,188325,57443,57443,36637,36637,39421,39421,37224,37224,46733,46733,89850,89850,75266,75266,156591,156591,34171,34171
him	115199,115199,37336,37336,38359,38359,44629,44629,65556,65556,39308,39308,100569,100569,96666,96666,471707,471707,298927,298927,41645,41645,38502,38502,52045,52045,54012,54012,52575,52575,297987,297987,44046,44046,45019,45019,60963,60963,2498099,2498099,58045,58045,658426,658426,30559,30559,0,0,223294,223294,34926,34926,177251,177251,44434,44434,43396,43396,54131,54131,97686,97686,102762,102762,107889,107889,51891,51891,96289,96289,70031,70031,87099,87099,1160959,1160959,78633,78633,75496,75496,29938,29938,38258,38258,196878,196878,47573,47573,1501039,1501039,88184,88184,28541,28541,46306,46306,45186,45186,57092,57092,303838,303838,152138,152138,200851,200851,41172,41172,54013,54013,47720,47720,47580,47580,34578,34578,437726,437726,36252,36252,59879,59879,75500,75500,37985,37985,1193415,1193415,351850,351850,1065030,1065030,59193,59193,43842,43842,32361,32361,155228,155228,73077,73077,43305,43305,42350,42350,40027,40027,45110,45110,55364,55364,65422,65422,1439502,1439502,1498247,1498247,72922,72922,37627,37627,58475,58475,61338,61338,103848,103848,47601,47601,92320,92320,509952,509952,52837,52837,50243,50243,50174,50174,188325,188325,57443,57443,36637,36637,39421,39421,37224,37224,46733,46733,89850,89850,75266,75266,156591,156591,34171,34171
his	243137,243137,218704,218704,229459,229459,221653,221653,231588,231588,223494,223494,247969,247969,247908,247908,618337,618337,318615,318615,218169,218169,225868,225868,225367,225367,214622,214622,213693,213693,384923,384923,214268,214268,224683,224683,246859,246859,2372553,2372553,230915,230915,728328,728328,219011,219011,223294,223294,0,0,225166,225166,290369,290369,216114,216114,224264,224264,224945,224945,263204,263204,232552,232552,200953,200953,210955,210955,180515,180515,208025,208025,192909,192909,1170533,1170533,233517,233517,227250,227250,218738,218738,212644,212644,260234,260234,228767,228767,1409771,1409771,272176,272176,218265,218265,219322,219322,226564,226564,241448,241448,393738,393738,281020,281020,291245,291245,207174,207174,245029,245029,237316,237316,226456,226456,224292,224292,587690,587690,218962,218962,205059,205059,229552,229552,221335,221335,1213017,1213017,313788,313788,1138724,1138724,213387,213387,235612,235612,220833,220833,226650,226650,228871,228871,215797,215797,227896,227896,212881,212881,217930,217930,231948,231948,195220,195220,1352500,1352500,1384429,1384429,244808,244808,229145,229145,237751,237751,211692,211692,263710,263710,226881,226881,212790,212790,457312,457312,224583,224583,233573,233573,234368,234368,273889,273889,243219,243219,220281,220281,231755,231755,225804,225804,230623,230623,234848,234848,265310,265310,237059,237059,215969,215969
if	243137,243137,218704,218704,229459,229459,221653,221653,231588,231588,223494,223494,247969,247969,247908,247908,618337,618337,318615,318615,218169,218169,225868,225868,225367,225367,214622,214622,213693,213693,384923,384923,214268,214268,224683,224683,246859,246859,2372553,2372553,230915,230915,728328,728328,219011,219011,223294,223294,0,0,225166,225166,290369,290369,216114,216114,224264,224264,224945,224945,263204,263204,232552,232552,200953,200953,210955,210955,180515,180515,208025,208025,192909,192909,1170533,1170533,233517,233517,227250,227250,218738,218738,212644,212644,260234,260234,228767,228767,1409771,1409771,272176,272176,218265,218265,219322,219322,226564,226564,241448,241448,393738,393738,281020,281020,291245,291245,207174,207174,245029,245029,237316,237316,226456,226456,224292,224292,587690,587690,218962,218962,205059,205059,229552,229552,221335,221335,1213017,1213017,313788,313788,1138724,1138724,213387,213387,235612,235612,220833,220833,226650,226650,228871,228871,215797,215797,227896,227896,212881,212881,217930,217930,231948,231948,195220,195220,1352500,1352500,1384429,1384429,244808,244808,229145,229145,237751,237751,211692,211692,263710,263710,226881,226881,212790,212790,457312,457312,224583,224583,233573,233573,234368,234368,273889,273889,243219,243219,220281,220281,231755,231755,225804,225804,230623,230623,234848,234848,265310,265310,237059,237059,215969,215969
in	108127,108127,42652,42652,44809,44809,49881,49881,66788,66788,40238,40238,103347,103347,96072,96072,476587,476587,287479,287479,47995,47995,47244,47244,58925,58925,61712,61712,57169,57169,298537,298537,44428,44428,48803,48803,67107,67107,2487629,2487629,60777,60777,657218,657218,29561,29561,34926,34926,225166,225166,0,0,173887,173887,45100,45100,41600,41600,60561,60561,89242,89242,104576,104576,110799,110799,49837,49837,98071,98071,73911,73911,78351,78351,1162953,1162953,83337,83337,75104,75104,37582,37582,38686,38686,199606,199606,56261,56261,1497621,1497621,95272,95272,29869,29869,52978,52978,46666,46666,59686,59686,306806,306806,156970,156970,199185,199185,43518,43518,56239,56239,52472,52472,44886,44886,41236,41236,443170,443170,34402,34402,54503,54503,77500,77500,37729,37729,1199797,1199797,356174,356174,1064400,1064400,58067,58067,41426,41426,36751,36751,155176,155176,80915,80915,46159,46159,42808,42808,39379,39379,42996,42996,46500,46500,71970,71970,1438064,1438064,1498733,1498733,70308,70308,34125,34125,62793,62793,58692,58692,95078,95078,46167,46167,98310,98310,505100,505100,54279,54279,50503,50503,50156,50156,188289,188289,58667,58667,36171,36171,46469,46469,44630,44630,45329,45329,98658,98658,81300,81300,157921,157921,28915,28915
is	108127,108127,42652,42652,44809,44809,49881,49881,66788,66788,40238,40238,103347,103347,96072,96072,476587,476587,287479,287479,47995,47995,47244,47244,58925,58925,61712,61712,57169,57169,298537,298537,44428,44428,48803,48803,67107,67107,2487629,2487629,60777,60777,657218,657218,29561,29561,34926,34926,225166,225166,0,0,173887,173887,45100,45100,41600,41600,60561,60561,89242,89242,104576,104576,110799,110799,49837,49837,98071,98071,73911,73911,78351,78351,1162953,1162953,83337,83337,75104,75104,37582,37582,38686,38686,199606,199606,56261,56261,1497621,1497621,95272,95272,29869,29869,52978,52978,46666,46666,59686,59686,306806,306806,156970,156970,199185,199185,43518,43518,56239,56239,52472,52472,44886,44886,41236,41236,443170,443170,34402,34402,54503,54503,77500,77500,37729,37729,1199797,1199797,356174,356174,1064400,1064400,58067,58067,41426,41426,36751,36751,155176,155176,80915,80915,46159,46159,42808,42808,39379,39379,42996,42996,46500,46500,71970,71970,1438064,1438064,1498733,1498733,70308,70308,34125,34125,62793,62793,58692,58692,95078,95078,46167,46167,98310,98310,505100,505100,54279,54279,50503,50503,50156,50156,188289,188289,58667,58667,36171,36171,46469,46469,44630,44630,45329,45329,98658,98658,81300,81300,157921,157921,28915,28915
it	124156,124156,176329,176329,185758,185758,178280,178280,173009,173009,174997,174997,188292,188292,176179,176179,465146,465146,259744,259744,191166,191166,191851,191851,167172,167172,177773,177773,183454,183454,281600,281600,173651,173651,177318,177318,202150,202150,2362720,2362720,172956,172956,559929,559929,168848,168848,177251,177251,290369,290369,173887,173887,0,0,177327,177327,169137,169137,152274,152274,216437,216437,207855,207855,181852,181852,171600,171600,231166,231166,194514,194514,201826,201826,1303114,1303114,180600,180600,138413,138413,159611,159611,173617,173617,264605,264605,184424,184424,1552804,1552804,206803,206803,173156,173156,169097,169097,168185,168185,201075,201075,216389,216389,213905,213905,277018,277018,179719,179719,205274,205274,181485,181485,191821,191821,177537,177537,443737,443737,183355,183355,172970,172970,209357,209357,180058,180058,1312950,1312950,430691,430691,911863,911863,152642,152642,173145,173145,181670,181670,291417,291417,184134,184134,192872,192872,186541,186541,181528,181528,181413,181413,187843,187843,184953,184953,1468451,1468451,1341814,1341814,208195,208195,177764,177764,203344,203344,178003,178003,196723,196723,178002,178002,206489,206489,442743,442743,182302,182302,200090,200090,203223,203223,228908,228908,193528,193528,184480,184480,187128,187128,191187,191187,183296,183296,163569,163569,215765,215765,242010,242010,183076,183076
know	124156,124156,176329,176329,185758,185758,178280,178280,173009,173009,174997,174997,188292,188292,176179,176179,465146,465146,259744,259744,191166,191166,191851,191851,167172,167172,177773,177773,183454,183454,281600,281600,173651,173651,177318,177318,202150,202150,2362720,2362720,172956,172956,559929,559929,168848,168848,177251,177251,290369,290369,173887,173887,0,0,177327,177327,169137,169137,152274,152274,216437,216437,207855,207855,181852,181852,171600,171600,231166,231166,194514,194514,201826,201826,1303114,1303114,180600,180600,138413,138413,159611,159611,173617,173617,264605,264605,184424,184424,1552804,1552804,206803,206803,173156,173156,169097,169097,168185,168185,201075,201075,216389,216389,213905,213905,277018,277018,179719,179719,205274,205274,181485,181485,191821,191821,177537,177537,443737,443737,183355,183355,172970,172970,209357,209357,180058,180058,1312950,1312950,430691,430691,911863,911863,152642,152642,173145,173145,181670,181670,291417,291417,184134,184134,192872,192872,186541,186541,181528,181528,181413,181413,187843,187843,184953,184953,1468451,1468451,1341814,1341814,208195,208195,177764,177764,203344,203344,178003,178003,196723,196723,178002,178002,206489,206489,442743,442743,182302,182302,200090,200090,203223,203223,228908,228908,193528,193528,184480,184480,187128,187128,191187,191187,183296,183296,163569,163569,215765,215765,242010,242010,183076,183076
long	116595,116595,40438,40438,47969,47969,50789,50789,64234,64234,40730,40730,94041,94041,95982,95982,474373,474373,289957,289957,45829,45829,40674,40674,56911,56911,57046,57046,50587,50587,300869,300869,43990,43990,47543,47543,61067,61067,2484183,2484183,57667,57667,653724,653724,31881,31881,44434,44434,216114,216114,45100,45100,177327,177327,0,0,50718,50718,72677,72677,98102,98102,102298,102298,115327,115327,41587,41587,106839,106839,76071,76071,83329,83329,1173595,1173595,77181,77181,81412,81412,45066,45066,45150,45150,194508,194508,50651,50651,1495791,1495791,91402,91402,39929,39929,65072,65072,50104,50104,56302,56302,309896,309896,142392,142392,200339,200339,39714,39714,57289,57289,58024,58024,45908,45908,39140,39140,441204,441204,38024,38024,62583,62583,90118,90118,54503,54503,1203911,1203911,361138,361138,1062192,1062192,65091,65091,54984,54984,36139,36139,164744,164744,73351,73351,49089,49089,53568,53568,46707,46707,49282,49282,67150,67150,73922,73922,1438854,1438854,1493279,1493279,76776,76776,40773,40773,57945,57945,61954,61954,102320,102320,58829,58829,82938,82938,509868,509868,65029,65029,61149,61149,61826,61826,183315,183315,58819,58819,23843,23843,44873,44873,39252,39252,45801,45801,100644,100644,80706,80706,150763,150763,37043,37043
man	116595,116595,40438,40438,47969,47969,50789,50789,64234,64234,40730,40730,94041,94041,95982,95982,474373,474373,289957,289957,45829,45829,40674,40674,56911,56911,57046,57046,50587,50587,300869,300869,43990,43990,47543,47543,61067,61067,2484183,2484183,57667,57667,653724,653724,31881,31881,44434,44434,216114,216114,45100,45100,177327,177327,0,0,50718,50718,72677,72677,98102,98102,102298,102298,115327,115327,41587,41587,106839,106839,76071,76071,83329,83329,1173595,1173595,77181,77181,81412,81412,45066,45066,45150,45150,194508,194508,50651,50651,1495791,1495791,91402,91402,39929,39929,65072,65072,50104,50104,56302,56302,309896,309896,142392,142392,200339,200339,39714,39714,57289,57289,58024,58024,45908,45908,39140,39140,441204,441204,38024,38024,62583,62583,90118,90118,54503,54503,1203911,1203911,361138,361138,1062192,1062192,65091,65091,54984,54984,36139,36139,164744,164744,73351,73351,49089,49089,53568,53568,46707,46707,49282,49282,67150,67150,73922,73922,1438854,1438854,1493279,1493279,76776,76776,40773,40773,57945,57945,61954,61954,102320,102320,58829,58829,82938,82938,509868,509868,65029,65029,61149,61149,61826,61826,183315,183315,58819,58819,23843,23843,44873,44873,39252,39252,45801,45801,100644,100644,80706,80706,150763,150763,37043,37043
may	111337,111337,43606,43606,48123,48123,54949,54949,73530,73530,48674,48674,102887,102887,86836,86836,476205,476205,285833,285833,54913,54913,52812,52812,53931,53931,64374,64374,62089,62089,297315,297315,49996,49996,55955,55955,70067,70067,2475535,2475535,67817,67817,644842,644842,40999,40999,43396,43396,224264,224264,41600,41600,169137,169137,50718,50718,0,0,56803,56803,98310,98310,102582,102582,109523,109523,53719,53719,110647,110647,77831,77831,91639,91639,1177401,1177401,88265,88265,64014,64014,34110,34110,48082,48082,194196,194196,60903,60903,1488563,1488563,90222,90222,43493,43493,59806,59806,56752,56752,65748,65748,294940,294940,151362,151362,192545,192545,47204,47204,66373,66373,56738,56738,51896,51896,53866,53866,446382,446382,43392,43392,64949,64949,90260,90260,44177,44177,1206489,1206489,349726,349726,1044230,1044230,52495,52495,45982,45982,46451,46451,169712,169712,84679,84679,52177,52177,53292,53292,49309,49309,48238,48238,49722,49722,75034,75034,1432440,1432440,1478505,1478505,76292,76292,46057,46057,68025,68025,60174,60174,95616,95616,50005,50005,95082,95082,496322,496322,65473,65473,60075,60075,61592,61592,176593,176593,63691,63691,48213,48213,56105,56105,53656,53656,52351,52351,79596,79596,90558,90558,150579,150579,44355,44355
me	111337,111337,43606,43606,48123,48123,54949,54949,73530,73530,48674,48674,102887,102887,86836,86836,476205,476205,285833,285833,54913,54913,52812,52812,53931,53931,64374,64374,62089,62089,297315,297315,49996,49996,55955,55955,70067,70067,2475535,2475535,67817,67817,644842,644842,40999,40999,43396,43396,224264,224264,41600,41600,169137,169137,50718,50718,0,0,56803,56803,98310,98310,102582,102582,109523,109523,53719,53719,110647,110647,77831,77831,91639,91639,1177401,1177401,88265,88265,64014,64014,34110,34110,48082,48082,194196,194196,60903,60903,1488563,1488563,90222,90222,43493,43493,59806,59806,56752,56752,65748,65748,294940,294940,151362,151362,192545,192545,47204,47204,66373,66373,56738,56738,51896,51896,53866,53866,446382,446382,43392,43392,64949,64949,90260,90260,44177,44177,1206489,1206489,349726,349726,1044230,1044230,52495,52495,45982,45982,46451,46451,169712,169712,84679,84679,52177,52177,53292,53292,49309,49309,48238,48238,49722,49722,75034,75034,1432440,1432440,1478505,1478505,76292,76292,46057,46057,68025,68025,60174,60174,95616,95616,50005,50005,95082,95082,496322,496322,65473,65473,60075,60075,61592,61592,176593,176593,63691,63691,48213,48213,56105,56105,53656,53656,52351,52351,79596,79596,90558,90558,150579,150579,44355,44355
meeting	109378,109378,58667,58667,66568,66568,64834,64834,86083,86083,69945,69945,100736,100736,102209,102209,472720,472720,279922,279922,68956,68956,71835,71835,62776,62776,66513,66513,77844,77844,288648,288648,66271,66271,72098,72098,94474,94474,2469312,2469312,87762,87762,629037,629037,53646,53646,54131,54131,224945,224945,60561,60561,152274,152274,72677,72677,56803,56803,0,0,117333,117333,109445,109445,106380,106380,72330,72330,126782,126782,86690,86690,109478,109478,1193632,1193632,93398,93398,61983,61983,42645,42645,63449,63449,173467,173467,78662,78662,1494098,1494098,99681,99681,57872,57872,74733,74733,57941,57941,83931,83931,269809,269809,144391,144391,198446,198446,66045,66045,89892,89892,83201,83201,75323,75323,71877,71877,454417,454417,62211,62211,78102,78102,104395,104395,62934,62934,1223856,1223856,352093,352093,1022619,1022619,53278,53278,66153,66153,63046,63046,188065,188065,90470,90470,71890,71890,71797,71797,65100,65100,67325,67325,74861,74861,82641,82641,1415769,1415769,1457928,1457928,92851,92851,66308,66308,84634,84634,80327,80327,106849,106849,61590,61590,103603,103603,471931,471931,76822,76822,80116,80116,80373,80373,162970,162970,80934,80934,65226,65226,75820,75820,74221,74221,72912,72912,81003,81003,101661,101661,168848,168848,62820,62820
must	109378,109378,58667,58667,66568,66568,64834,64834,86083,86083,69945,69945,100736,100736,102209,102209,472720,472720,279922,279922,68956,68956,71835,71835,62776,62776,66513,66513,77844,77844,288648,288648,66271,66271,72098,72098,94474,94474,2469312,2469312,87762,87762,629037,629037,53646,53646,54131,54131,224945,224945,60561,60561,152274,152274,72677,72677,56803,56803,0,0,117333,117333,109445,109445,106380,106380,72330,72330,126782,126782,86690,86690,109478,109478,1193632,1193632,93398,93398,61983,61983,42645,42645,63449,63449,173467,173467,78662,78662,1494098,1494098,99681,99681,57872,57872,74733,74733,57941,57941,83931,83931,269809,269809,144391,144391,198446,198446,66045,66045,89892,89892,83201,83201,75323,75323,71877,71877,454417,454417,62211,62211,78102,78102,104395,104395,62934,62934,1223856,1223856,352093,352093,1022619,1022619,53278,53278,66153,66153,63046,63046,188065,188065,90470,90470,71890,71890,71797,71797,65100,65100,67325,67325,74861,74861,82641,82641,1415769,1415769,1457928,1457928,92851,92851,66308,66308,84634,84634,80327,80327,106849,106849,61590,61590,103603,103603,471931,471931,76822,76822,80116,80116,80373,80373,162970,162970,80934,80934,65226,65226,75820,75820,74221,74221,72912,72912,81003,81003,101661,101661,168848,168848,62820,62820
my	167453,167453,108770,108770,110009,110009,118693,118693,138426,138426,108768,108768,139929,139929,157570,157570,538873,538873,299657,299657,115283,115283,107984,107984,116791,116791,109026,109026,107429,107429,321825,321825,109728,109728,119241,119241,91983,91983,2447787,2447787,131613,131613,679504,679504,94639,94639,97686,97686,263204,263204,89242,89242,216437,216437,98102,98102,98310,98310,117333,117333,0,0,150696,150696,163657,163657,94773,94773,160647,160647,119371,119371,117443,117443,1226121,1226121,144411,144411,128684,128684,95232,95232,97436,97436,214270,214270,102475,102475,1489885,1489885,131250,131250,90617,90617,101910,101910,98326,98326,109030,109030,340762,340762,172424,172424,191527,191527,92228,92228,93171,93171,112278,112278,97594,97594,94784,94784,512416,512416,94832,94832,108855,108855,121150,121150,89927,89927,1252497,1252497,369090,369090,1074228,1074228,112065,112065,106616,106616,101837,101837,206204,206204,140991,140991,94585,94585,99732,99732,99715,99715,98916,98916,113944,113944,133950,133950,1457842,1457842,1489125,1489125,124150,124150,104211,104211,111541,111541,107118,107118,128646,128646,98073,98073,142282,142282,502398,502398,112669,112669,100739,100739,100358,100358,201953,201953,101427,101427,93629,93629,95805,95805,102570,102570,93863,93863,144538,144538,97480,97480,151821,151821,93681,93681
myself	167453,167453,108770,108770,110009,110009,118693,118693,138426,138426,108768,108768,139929,139929,157570,157570,538873,538873,299657,299657,115283,115283,107984,107984,116791,116791,109026,109026,107429,107429,321825,321825,109728,109728,119241,119241,91983,91983,2447787,2447787,131613,131613,679504,679504,94639,94639,97686,97686,263204,263204,89242,89242,216437,216437,98102,98102,98310,98310,117333,117333,0,0,150696,150696,163657,163657,94773,94773,160647,160647,119371,119371,117443,117443,1226121,1226121,144411,144411,128684,128684,95232,95232,97436,97436,214270,214270,102475,102475,1489885,1489885,131250,131250,90617,90617,101910,101910,98326,98326,109030,109030,340762,340762,172424,172424,191527,191527,92228,92228,93171,93171,112278,112278,97594,97594,94784,94784,512416,512416,94832,94832,108855,108855,121150,121150,89927,89927,1252497,1252497,369090,369090,1074228,1074228,112065,112065,106616,106616,101837,101837,206204,206204,140991,140991,94585,94585,99732,99732,99715,99715,98916,98916,113944,113944,133950,133950,1457842,1457842,1489125,1489125,124150,124150,104211,104211,111541,111541,107118,107118,128646,128646,98073,98073,142282,142282,502398,502398,112669,112669,100739,100739,100358,100358,201953,201953,101427,101427,93629,93629,95805,95805,102570,102570,93863,93863,144538,144538,97480,97480,151821,151821,93681,93681
never	162585,162585,100836,100836,112745,112745,105313,105313,129058,129058,109494,109494,143829,143829,137964,137964,516543,516543,289121,289121,106061,106061,94496,94496,109667,109667,106994,106994,114157,114157,307095,307095,112986,112986,111069,111069,130141,130141,2422715,2422715,125431,125431,625240,625240,103149,103149,102762,102762,232552,232552,104576,104576,207855,207855,102298,102298,102582,102582,109445,109445,150696,150696,0,0,134641,134641,100663,100663,139789,139789,100181,100181,116505,116505,1166777,1166777,122653,122653,116958,116958,95826,95826,97026,97026,177006,177006,111295,111295,1505093,1505093,137918,137918,97091,97091,96456,96456,119478,119478,102402,102402,305148,305148,193942,193942,199829,199829,94468,94468,124025,124025,115734,115734,105876,105876,108270,108270,488004,488004,96486,96486,82453,82453,116412,116412,99849,99849,1188575,1188575,345308,345308,1048714,1048714,98357,98357,107212,107212,101367,101367,158824,158824,118717,118717,98895,98895,90090,90090,99279,99279,96864,96864,110748,110748,103132,103132,1397242,1397242,1436931,1436931,131344,131344,109143,109143,111153,111153,98410,98410,147474,147474,100029,100029,124764,124764,465618,465618,106305,106305,112953,112953,115952,115952,202381,202381,104259,104259,98573,98573,104973,104973,112572,112572,108287,108287,110336,110336,124472,124472,156291,156291,99321,99321
